Year,Ruta,Idestado,Idmunicipio,Idciclo,Idmodalidad,Idcultivo,Sembrada,Volumenproduccion,Precio,Valorproduccion
2018,2,21,43,1,2,7490000,1560,2104,3617.71,7611661.84
2018,2,21,29,1,2,7490000,140,181.8,3657.66,664962.59
2018,2,21,167,1,2,7490000,12.4,14.39,3648.73,52505.25
2018,2,21,162,1,2,7490000,18.6,19.93,3600,71748
2018,2,21,30,1,2,7490000,61,68.92,3510,241909.2
2018,2,21,28,1,2,7490000,62.2,68.37,3570,244080.9
2018,2,21,14,1,2,7490000,111,127.65,3550,453157.5
2018,2,21,6,1,2,7490000,39.2,40.25,3590,144497.5
2018,2,21,213,1,2,7490000,125,140,4190,586600
2018,2,21,197,1,2,7490000,230,320,4205,1345600
2018,2,21,187,1,2,7490000,110,140,4270,597800
2018,2,21,184,1,2,7490000,210,260,4260,1107600
2018,2,21,183,1,2,7490000,350,425,4140,1759500
2018,2,21,178,1,2,7490000,180,200,4210,842000
2018,2,21,123,1,2,7490000,70,83,4220,350260
2018,2,21,109,1,2,7490000,75,90,4240,381600
2018,2,21,100,1,2,7490000,65,75,4230,317250
2018,2,21,91,1,2,7490000,12,14.5,4160,60320
2018,2,21,89,1,2,7490000,250,310,4170,1292700
2018,2,21,71,1,2,7490000,130,160,4250,680000
2018,2,21,68,1,2,7490000,95,120,4180,501600
2018,2,21,57,1,2,7490000,40,60,4150,249000
2018,2,21,49,1,2,7490000,90,117,4200,491400
2018,2,13,31,1,2,7490000,49,68,4349.51,295766.68
2018,2,13,18,1,2,7490000,186,325.5,4435.12,1443631.56
2018,2,13,79,1,2,7490000,630,610,4423.69,2698450.9
2018,2,13,42,1,2,7490000,133,124.09,4487.96,556911.43
2018,2,13,28,1,2,7490000,4726.2,6144.06,4800,29491488
2018,2,13,26,1,2,7490000,760,874,4750,4151500
2018,2,4,4,1,2,7490000,1233,2334.19,3700,8636503
2018,2,4,2,1,2,7490000,175,551.06,3158.19,1740352.18
2018,2,31,70,1,1,7490000,2,6.9,4125,28462.5
2018,2,31,66,1,1,7490000,275.8,799.82,3112.97,2489815.67
2018,2,31,53,1,1,7490000,751,2253,3165.26,7131330.78
2018,2,30,193,1,1,7490000,154,869.02,4387.01,3812399.51
2018,2,30,105,1,1,7490000,57,313.5,4530,1420155
2018,2,30,100,1,1,7490000,239,1481.8,4560,6757008
2018,2,30,90,1,1,7490000,47,258.5,4560,1178760
2018,2,30,134,1,1,7490000,135,405,3500,1417500
2018,2,30,126,1,1,7490000,54.75,197.1,3800,748980
2018,2,30,16,1,1,7490000,24,96,3500,336000
2018,2,23,6,1,1,7490000,270,940.45,4067.26,3825054.67
2018,2,23,4,1,1,7490000,170,943.84,3850.63,3634378.62
2018,2,22,4,1,1,7490000,18,30.6,4200,128520
2018,2,21,209,1,1,7490000,21,41,4000,164000
2018,2,21,156,1,1,7490000,245,931,3900,3630900
2018,2,21,149,1,1,7490000,15,60,3950,237000
2018,2,21,27,1,1,7490000,38,83.6,3743.12,312924.83
2018,2,21,201,1,1,7490000,37,164.09,3356,550686.04
2018,2,21,166,1,1,7490000,20,98.5,3400,334900
2018,2,21,159,1,1,7490000,25,82,3100,254200
2018,2,21,150,1,1,7490000,95,369.07,3203,1182131.21
2018,2,21,133,1,1,7490000,15,48.68,3280,159670.4
2018,2,21,85,1,1,7490000,360,1490.04,3155,4701076.2
2018,2,21,62,1,1,7490000,105,412.13,3150,1298209.5
2018,2,21,51,1,1,7490000,410,1804,3190,5754760
2018,2,21,31,1,1,7490000,167,656.14,3502,2297802.28
2018,2,21,21,1,1,7490000,5,20,3580,71600
2018,2,21,188,1,1,7490000,200,601,2500,1502500
2018,2,21,175,1,1,7490000,10,41,2680,109880
2018,2,21,148,1,1,7490000,20,88,2600,228800
2018,2,21,69,1,1,7490000,240,1199,2500,2997500
2018,2,21,19,1,1,7490000,50,219,2820,617580
2018,2,13,31,1,1,7490000,134,650,4469.64,2905266
2018,2,13,71,1,1,7490000,42.5,229.5,4885.06,1121121.27
2018,2,13,20,1,1,7490000,53.5,198,5974.44,1182939.12
2018,2,13,28,1,1,7490000,96.5,212.3,4800,1019040
2018,2,11,9,1,1,7490000,127,1123.95,3696,4154119.2
2018,2,11,4,1,1,7490000,65,507,3700,1875900
2018,2,4,11,1,1,7490000,51,210.12,3390.35,712380.34
2018,2,4,9,1,1,7490000,41,167.28,3300,552024
2018,2,4,4,1,1,7490000,95,427.5,3700,1581750
2018,2,4,2,1,1,7490000,2450,11456.6,3219.29,36882117.81
2018,2,4,1,1,1,7490000,20,80.58,3150,253827
2018,3,17,31,1,1,7490000,4,15.2,3640.1,55329.52
2018,3,17,25,1,1,7490000,70,259,3642.05,943290.95
2018,3,17,24,1,1,7490000,60,222,3639.59,807988.98
2018,3,17,17,1,1,7490000,68,258.4,3636.1,939568.24
2018,3,17,12,1,1,7490000,55,203.5,3653.37,743460.8
2018,3,17,1,1,1,7490000,73,277.4,3632,1007516.8
2018,3,16,92,1,1,7490000,80,336,3715,1248240
2018,3,16,38,1,1,7490000,65,292.5,3810,1114425
2018,3,16,102,1,1,7490000,135,472.5,3529,1667452.5
2018,3,16,83,1,1,7490000,23,80.5,3478,279979
2018,3,16,6,1,1,7490000,592,2711.36,3987.22,10810788.82
2018,3,16,35,1,1,7490000,650,2275,3886.15,8840991.25
2018,3,16,52,1,1,7490000,162,554.04,3500,1939140
2018,3,16,2,1,1,7490000,178,806.34,4150,3346311
2018,3,16,8,1,1,7490000,210,684.6,4004.68,2741603.93
2018,3,12,59,1,1,7490000,202.75,1061.39,3942.3,4184317.8
2018,3,12,35,1,1,7490000,299.75,1418.71,3906.3,5541906.87
2018,3,12,15,1,1,7490000,95.55,475.83,3805.77,1810899.54
2018,3,12,69,1,1,7490000,71.5,214,4509.09,964945.26
2018,3,12,66,1,1,7490000,220,852.3,4241.28,3614842.94
2018,3,12,20,1,1,7490000,33,72.6,4721.75,342799.05
2018,3,12,61,1,1,7490000,38.45,148.08,4662.93,690486.67
2018,3,12,29,1,1,7490000,532.5,1952.02,4653.23,9083198.02
2018,3,12,50,1,1,7490000,261.73,1186.16,3346.88,3969935.18
2018,3,12,22,1,1,7490000,497.11,2446.28,3346.7,8186965.28
2018,3,12,71,1,1,7490000,274.25,926.96,4647.47,4308018.79
2018,3,12,62,1,1,7490000,375.6,1273.28,4860.65,6188968.43
